right_song,total_count,is_right_probability
当,12717,0.9381929700401038
甜蜜蜜,11967,0.9327316787833208
月亮代表我的心,11624,0.8777529249827942
雨蝶,11581,0.7571884984025559
明天会更好,10595,0.8016989145823502
童年,10405,0.8795771263815473
水手,9659,0.8531939124132933
向天再借五百年,9642,0.9131922837585563
朋友,9471,0.8817442719881744
梦醒时分,8977,0.7726411941628606
冬天里的一把火,8823,0.9343760625637538
北京的金山上,8444,0.9102321174798673
我只在乎你,8365,0.8724447101016138
唱支山歌给党听,8245,0.9262583383869012
歌唱祖国,8210,0.9193666260657735
光阴的故事,8060,0.8398263027295285
大中国,7831,0.9376835653173285
懂你,7780,0.799357326478149
新鸳鸯蝴蝶梦,7529,0.818435383185018
父亲,7333,0.8247647620346379
敢问路在何方,7270,0.9159559834938101
红旗飘飘,7008,0.8541666666666666
九月九的酒,6908,0.9268963520555877
恋曲1990,6332,0.6994630448515476
兰花草,6307,0.8105279847788172
独家记忆,6070,0.8494233937397034
爱情买卖,6023,0.9344180640876639
我的未来不是梦,5985,0.9326649958228905
星星点灯,5704,0.9370617110799438
爱江山更爱美人,5540,0.9330324909747293
橄榄树,5481,0.6832694763729247
大约在冬季,5234,0.8026366068016814
万水千山总是情,5231,0.8518447715541961
铁血丹心,5048,0.8460776545166403
龙的传人,5032,0.840818759936407
酒干倘卖无,5004,0.8806954436450839
世间始终你好,4923,0.7336989640463132
刀剑如梦,4540,0.7951541850220264
江湖笑,4429,0.8819146534206367
海阔天空,4406,0.8411257376305039
天下无双,4398,0.6866757617098681
难念的经,4117,0.6881224192373088
太多,4037,0.9031459004211048
在水一方,3932,0.7995930824008138
小幸运,3858,0.8885432866770347
一剪梅,3671,0.8981204031599019
上海滩,3539,0.8796270132805878
外婆的澎湖湾,3469,0.8619198616315941
万里长城永不倒,3423,0.8778848962898043
在希望的田野上,3378,0.8886915334517466
暗香,3308,0.6091293833131801
爱如潮水,3275,0.8912977099236641
小城故事,3170,0.9331230283911672
夜来香,3107,0.9285484390086901
后来,2907,0.8768489852081184
爱拼才会赢,2822,0.8210489014883061
只要有你,2645,0.654820415879017
让我们荡起双桨,2568,0.8442367601246106
光辉岁月,2539,0.8723907050019692
潇洒走一回,2514,0.9160700079554495
吻别,2462,0.8403736799350122
小芳,2407,0.9364353967594516
用心良苦,2355,0.8475583864118896
外面的世界,2350,0.7634042553191489
相思,2325,0.7767741935483871
偏偏喜欢你,2163,0.7369394359685622
一生何求,2162,0.8015726179463459
双截棍,2119,0.9131665880132138
流星雨,2074,0.9083895853423336
跟着感觉走,2060,0.841747572815534
你是风儿我是沙,2048,0.876953125
童话,2045,0.7995110024449877
十年,2017,0.90233019335647
老鼠爱大米,1994,0.9107321965897693
东风破,1986,0.8056394763343404
妈妈的吻,1984,0.813508064516129
南泥湾,1963,0.7722873153336729
2002年的第一场雪,1951,0.9595079446437724
再回首,1946,0.8371017471736896
爱你,1932,0.901656314699793
泡沫,1863,0.8813741277509394
小苹果,1849,0.955110870740941
存在,1845,0.7257452574525746
成都,1822,0.8249176728869374
一场游戏一场梦,1815,0.8848484848484849
南山南,1799,0.9038354641467482
消愁,1794,0.7408026755852842
难忘今宵,1792,0.8063616071428571
凉凉,1785,0.6941176470588235
那些年,1764,0.7715419501133787
跟往事干杯,1763,0.6630743051616562
十五的月亮,1756,0.8900911161731208
终于等到你,1753,0.7986309184255562
是否我真的一无所有,1706,0.7778429073856975
自从有了你,1680,0.7910714285714285
恰似你的温柔,1676,0.6443914081145584
安妮,1655,0.6350453172205438
千千阙歌,1646,0.8353584447144593
山不转水转,1609,0.7663144810441268
英雄泪,1564,0.6867007672634271
天路,1432,0.8282122905027933
我们,1430,0.6622377622377622
忘了你忘了我,1391,0.6671459381739756
很爱很爱你,1356,0.8539823008849557
月亮惹的祸,1309,0.8624904507257448
九百九十九朵玫瑰,1266,0.8988941548183255
夜空中最亮的星,1264,0.8931962025316456
你快回来,1184,0.7989864864864865
我的祖国,1166,0.7530017152658662
为爱痴狂,1125,0.8657777777777778
当爱在靠近,1086,0.7265193370165746
好汉歌,1082,0.8733826247689463
南屏晚钟,1081,0.755781683626272
一辈子的孤单,1073,0.8723205964585274
红日,1062,0.6977401129943502
玫瑰玫瑰我爱你,1060,0.8528301886792453
精忠报国,1052,0.8555133079847909
你是我胸口永远的痛,1051,0.8591817316841104
送别,1006,0.5308151093439364
霸王别姬,1002,0.8083832335329342
千年等一回,999,0.9219219219219219
青青河边草,974,0.9373716632443532
因为爱情,971,0.898043254376931
沉默是金,957,0.6165099268547545
驼铃,950,0.6673684210526316
波斯猫,936,0.8739316239316239
敖包相会,908,0.6354625550660793
一言难尽,890,0.7168539325842697
忘情水,889,0.8357705286839145
漫步人生路,886,0.6963882618510158
九九艳阳天,871,0.9092996555683123
洪湖水浪打浪,855,0.9076023391812865
心太软,830,0.9132530120481928
后来的我们,813,0.8093480934809348
让她降落,801,0.7815230961298377
真的爱你,799,0.7434292866082604
演员,792,0.6856060606060606
大城小爱,784,0.6313775510204082
红尘有你,780,0.782051282051282
独角戏,779,0.7650834403080873
一千年以后,778,0.7107969151670951
可惜没如果,770,0.7896103896103897
挪威的森林,763,0.7889908256880734
倩女幽魂,761,0.6478318002628121
鸭子,756,0.8068783068783069
发如雪,756,0.7208994708994709
模特,746,0.5093833780160858
真心英雄,743,0.6379542395693136
值得,737,0.7204884667571235
寂寞沙洲冷,732,0.7377049180327869
说散就散,731,0.6730506155950753
奇妙能力歌,729,0.6117969821673526
味道,722,0.7950138504155124
打靶归来,719,0.8122392211404729
我等到花儿也谢了,715,0.5370629370629371
死了都要爱,714,0.9145658263305322
永不失联的爱,708,0.7189265536723164
过火,703,0.6031294452347084
千里之外,697,0.9153515064562411
夜曲,695,0.6705035971223021
男孩,693,0.5714285714285714
剑心,683,0.6149341142020498
菊花台,683,0.6852122986822841
时间煮雨,678,0.6076696165191741
今天你要嫁给我,677,0.8700147710487445
求佛,673,0.5884101040118871
一念之间,661,0.7428139183055976
痴心绝对,645,0.7426356589147287
董小姐,614,0.8420195439739414
白天不懂夜的黑,589,0.8200339558573854
曹操,569,0.6502636203866432
理想三旬,565,0.5221238938053098
伤心1999,564,0.8368794326241135
成全,563,0.6731793960923623
我爱你中国,553,0.7396021699819169
借我,514,0.603112840466926
不得不爱,503,0.7296222664015904
花香,497,0.6800804828973843
云烟成雨,458,0.7117903930131004
认真的雪,447,0.7941834451901566
为你我受冷风吹,447,0.7002237136465325
风的季节,442,0.6742081447963801
听说爱情回来过,423,0.6193853427895981
不浪漫罪名,418,0.6124401913875598
乌云中,391,0.59846547314578
不想长大,363,0.8842975206611571
无怨无悔爱着你,355,0.6281690140845071
牧羊曲,348,0.5718390804597702
为了谁,339,0.6548672566371682
谁明浪子心,335,0.5970149253731343
Wait Wait Wait,333,0.8018018018018018
黄土高坡,322,0.5279503105590062
别怕我伤心,298,0.6174496644295302
花房姑娘,295,0.559322033898305
有没有人告诉你,293,0.7679180887372014
星语心愿,273,0.608058608058608
从头再来,265,0.6415094339622641
他不爱我,265,0.6037735849056604
Papillon,253,0.7075098814229249
三月里的小雨,251,0.7171314741035857
信仰,245,0.563265306122449
听海,226,0.7522123893805309
美丽的神话,223,0.6771300448430493
中国话,214,0.5373831775700935
映山红,210,0.7142857142857143
不是我不明白,206,0.5485436893203883
大碗宽面,206,0.6893203883495146
乡间的小路,202,0.5792079207920792
太想爱你,190,0.6105263157894737
星月神话,187,0.5240641711229946
红豆,187,0.5454545454545454
我和你,181,0.5138121546961326
青花瓷,180,0.7444444444444445
我和我的祖国,179,0.6201117318435754
宽容,174,0.5517241379310345
我的歌声里,167,0.6167664670658682
征服,167,0.6826347305389222
雁南飞,167,0.6526946107784432
终于明白,164,0.5853658536585366
天天想你,157,0.7770700636942676
我是真的爱你,154,0.551948051948052
难以抗拒你容颜,148,0.46621621621621623
你是我心内的一首歌,145,0.6620689655172414
一万个舍不得,141,0.7943262411347518
月亮之上,141,0.8085106382978723
明月千里寄相思,135,0.5555555555555556
不要对他说,124,0.6048387096774194
如果没有你,121,0.5371900826446281
相约一九九八,120,0.6
月光,117,0.6495726495726496
我们不一样,112,0.6339285714285714
东方红,109,0.6146788990825688
等一分钟,105,0.8
小白杨,103,0.5825242718446602
蒙娜丽莎的眼泪,101,0.5148514851485149
千年泪,100,0.59
海草舞,96,0.6354166666666666
笨小孩,89,0.5730337078651685
一眼万年,88,0.4431818181818182
有一点动心,87,0.5747126436781609
花儿为什么这样红,85,0.5176470588235295
学猫叫,84,0.7738095238095238
爱情转移,82,0.6707317073170732
三寸天堂,81,0.4567901234567901
一二三四歌,74,0.5945945945945946
等你的季节,73,0.6301369863013698
千纸鹤,70,0.5857142857142857
小酒窝,69,0.6811594202898551
一念执着,64,0.59375
其实你不懂我的心,62,0.5967741935483871
沙漠骆驼,62,0.6290322580645161
热情的沙漠,61,0.5081967213114754
白月光,59,0.5084745762711864
在那桃花盛开的地方,59,0.423728813559322
我怀念的,58,0.5
突然好想你,57,0.5263157894736842
从开始到现在,55,0.45454545454545453
稻香,54,0.5370370370370371
咱当兵的人,53,0.4339622641509434
无愧于心,53,0.5849056603773585
爱你一万年,53,0.5094339622641509
光年之外,52,0.5961538461538461
走进新时代,48,0.4791666666666667
等待,47,0.3829787234042553
你走你的路,47,0.5106382978723404
年少有为,46,0.5869565217391305
往事只能回味,46,0.43478260869565216
走四方,43,0.5581395348837209
画心,43,0.5581395348837209
伤心太平洋,41,0.6097560975609756
