right_song,total_count,is_right_probability
甜蜜蜜,12471,0.9398604763050277
童年,12327,0.8906465482274681
月亮代表我的心,11841,0.8987416603327422
水手,11741,0.8674729580103909
明天会更好,11730,0.8248934356351236
当,11534,0.9278654413039709
雨蝶,10874,0.7570351296670959
朋友,10559,0.9016952362913154
梦醒时分,9966,0.7800521774031708
光阴的故事,9579,0.8605282388558304
新鸳鸯蝴蝶梦,9117,0.8423823626192827
冬天里的一把火,8650,0.947514450867052
歌唱祖国,8627,0.9269734554306248
向天再借五百年,8400,0.9177380952380952
北京的金山上,8163,0.9233125076564989
橄榄树,7824,0.7221370143149284
唱支山歌给党听,7818,0.932719365566641
我只在乎你,7414,0.8919611545724305
大中国,7139,0.9480319372461129
懂你,7128,0.8319304152637486
兰花草,7121,0.8289566072180874
万水千山总是情,7075,0.8692579505300353
海阔天空,7070,0.8125884016973126
父亲,6847,0.7641302760332993
酒干倘卖无,6819,0.909517524563719
敢问路在何方,6815,0.9242846661775496
红旗飘飘,6682,0.8787788087398982
九月九的酒,6606,0.9447471995155919
爱江山更爱美人,6440,0.9484472049689441
我的未来不是梦,6265,0.9348762968874701
恋曲1990,6210,0.7040257648953301
大约在冬季,6123,0.8288420708802875
独家记忆,6081,0.8656470975168558
爱情买卖,6062,0.9359947212141208
小幸运,6053,0.8830332066743763
星星点灯,5900,0.941864406779661
龙的传人,5843,0.8723258600034229
一剪梅,5729,0.9024262524000698
只要有你,5700,0.6836842105263158
铁血丹心,5430,0.852670349907919
世间始终你好,5310,0.7299435028248588
外婆的澎湖湾,5207,0.8742077971960822
爱如潮水,5154,0.9022118742724098
在水一方,5062,0.8192414065586725
刀剑如梦,5057,0.8050227407553886
上海滩,5034,0.9046483909415971
万里长城永不倒,4973,0.889000603257591
爱拼才会赢,4805,0.8193548387096774
小城故事,4787,0.94213494881972
让我们荡起双桨,4299,0.8853221679460339
江湖笑,4285,0.8744457409568261
在希望的田野上,4221,0.908078654347311
天下无双,4145,0.7162846803377564
后来,3986,0.9187155042649272
一生何求,3898,0.8281169830682401
难念的经,3793,0.6654363300817295
偏偏喜欢你,3698,0.7471606273661439
太多,3697,0.9001893427103057
光辉岁月,3527,0.8565352991210661
潇洒走一回,3499,0.9296941983423835
暗香,3488,0.6387614678899083
吻别,3438,0.8379872018615474
相思,3435,0.8084425036390102
小芳,3398,0.949970570924073
千千阙歌,3375,0.848
夜来香,3335,0.9256371814092954
双截棍,3175,0.905511811023622
流星雨,3172,0.9126733921815889
童话,3159,0.8249446027223805
十年,3127,0.8781579788935081
用心良苦,3034,0.8632168754119973
跟着感觉走,2975,0.8836974789915967
外面的世界,2968,0.8089622641509434
泡沫,2954,0.8872714962762356
小苹果,2945,0.9626485568760611
存在,2938,0.7522123893805309
成都,2918,0.776559287183002
一场游戏一场梦,2906,0.9015829318651066
南山南,2905,0.9018932874354562
再回首,2898,0.8709454796411318
十五的月亮,2835,0.9223985890652557
老鼠爱大米,2811,0.9252934898612594
南泥湾,2795,0.8354203935599285
东风破,2718,0.7781456953642384
跟往事干杯,2711,0.6469937292511988
2002年的第一场雪,2705,0.9619223659889095
爱你,2668,0.9175412293853074
难忘今宵,2649,0.8882597206493016
恰似你的温柔,2613,0.6582472254114046
是否我真的一无所有,2588,0.8025502318392581
消愁,2583,0.7138985675571041
凉凉,2573,0.6486591527399922
安妮,2568,0.6253894080996885
那些年,2553,0.7696827262044653
终于等到你,2525,0.8067326732673268
山不转水转,2497,0.8129755706848217
驼铃,2480,0.7536290322580645
天路,2392,0.8641304347826086
妈妈的吻,2372,0.8747892074198989
英雄泪,2341,0.7065356685177274
