right_song,total_count,is_right_probability
当,37180,0.9294782140935987
甜蜜蜜,34938,0.9359722937775488
月亮代表我的心,34158,0.8874055858071316
明天会更好,33772,0.8131292194717518
童年,33537,0.8900617228732445
雨蝶,33473,0.76204702297374
水手,31698,0.8616316486844596
梦醒时分,29886,0.781201900555444
朋友,29820,0.8905767940979209
向天再借五百年,28138,0.9197881867936598
光阴的故事,27774,0.854468207676244
新鸳鸯蝴蝶梦,26504,0.8354965288258376
冬天里的一把火,25735,0.941402758888673
歌唱祖国,24864,0.92619851994852
北京的金山上,24436,0.9155344573579964
唱支山歌给党听,23616,0.9316565040650406
我只在乎你,23043,0.8792257952523543
大中国,21956,0.9452541446529422
懂你,21836,0.8129236123832204
父亲,20781,0.7976035801934459
敢问路在何方,20673,0.9118173462971025
恋曲1990,20365,0.705327768229806
红旗飘飘,20114,0.8651188227105499
九月九的酒,19872,0.9326690821256038
万水千山总是情,19842,0.8590363874609415
兰花草,19753,0.8262542398622994
橄榄树,18877,0.7014885839911003
爱江山更爱美人,18679,0.9401466887949034
我的未来不是梦,17902,0.9340855770304994
酒干倘卖无,17798,0.8942577817732329
独家记忆,17724,0.852516361995035
大约在冬季,17723,0.8119392879309372
爱情买卖,17630,0.9342030629608622
海阔天空,17594,0.8339774923269296
铁血丹心,17281,0.8540015045425612
世间始终你好,17009,0.73425833382327
星星点灯,16958,0.9356056138695601
龙的传人,15931,0.8588286987634173
小幸运,14917,0.8917342629214989
刀剑如梦,14213,0.7977907549426582
江湖笑,13962,0.8786706775533591
一剪梅,13945,0.9044101828612406
天下无双,13879,0.7050219756466605
在水一方,13477,0.8139051717741337
难念的经,13267,0.6775457903067762
太多,13039,0.8999156377022778
爱如潮水,12666,0.8987051950102637
外婆的澎湖湾,12416,0.8801546391752577
上海滩,11753,0.8986641708499957
万里长城永不倒,11462,0.879951142906997
在希望的田野上,11376,0.8964486638537271
小城故事,10828,0.9371998522349464
夜来香,10686,0.9271008796556242
只要有你,10540,0.6734345351043644
让我们荡起双桨,10475,0.8735083532219571
暗香,10421,0.6296900489396411
后来,10150,0.8953694581280788
爱拼才会赢,10045,0.8245893479342957
相思,9355,0.7889898450026723
一生何求,9216,0.8210720486111112
偏偏喜欢你,9216,0.7464192708333334
光辉岁月,9135,0.8614121510673235
潇洒走一回,9061,0.9240701909281537
吻别,8913,0.8413553236845058
小芳,8785,0.9444507683551508
用心良苦,8641,0.8603170929290591
外面的世界,8010,0.7955056179775281
双截棍,7971,0.9170743946807176
流星雨,7903,0.91066683537897
童话,7833,0.8182050300012766
十年,7756,0.898014440433213
老鼠爱大米,7690,0.9260078023407022
东风破,7674,0.7905916080271045
跟着感觉走,7610,0.8624178712220762
2002年的第一场雪,7576,0.9609292502639916
爱你,7504,0.9153784648187633
千千阙歌,7429,0.8544891640866873
再回首,7367,0.8548934437355776
一场游戏一场梦,7244,0.8873550524572059
泡沫,7236,0.8973189607517966
小苹果,7200,0.9688888888888889
存在,7188,0.7422092376182526
成都,7131,0.809002944888515
南泥湾,7117,0.8096107910636504
南山南,7096,0.9086809470124013
消愁,7071,0.7324282279734126
凉凉,7060,0.6895184135977337
那些年,7014,0.7882805816937554
终于等到你,6971,0.8175297661741501
十五的月亮,6882,0.9083115373437954
跟往事干杯,6817,0.6665688719378026
是否我真的一无所有,6783,0.7847560076662243
难忘今宵,6705,0.845786726323639
你是风儿我是沙,6544,0.878361858190709
安妮,6533,0.631103627736109
妈妈的吻,6510,0.8313364055299539
英雄泪,6266,0.7162464091924673
山不转水转,6206,0.8022881082823075
天路,5751,0.8615892888193357
自从有了你,5694,0.8080435546188971
忘了你忘了我,5496,0.6517467248908297
恰似你的温柔,5441,0.6482264289652637
我们,5347,0.6611183841406396
很爱很爱你,5211,0.8909998080982537
月亮惹的祸,5150,0.8829126213592233
我的祖国,4977,0.7870202933494073
夜空中最亮的星,4932,0.8787510137875101
