right_song,total_count,is_right_probability
当,2885,0.9487001733102253
甜蜜蜜,2701,0.9307663828211773
雨蝶,2630,0.7650190114068441
月亮代表我的心,2628,0.8683409436834094
明天会更好,2246,0.7956366874443455
向天再借五百年,2231,0.9121470192738682
童年,2170,0.8880184331797235
朋友,2037,0.8880706921944035
水手,2010,0.8656716417910447
冬天里的一把火,2009,0.9333001493280239
北京的金山上,1974,0.89209726443769
我只在乎你,1972,0.8747464503042597
唱支山歌给党听,1930,0.9290155440414508
梦醒时分,1859,0.7633136094674556
歌唱祖国,1846,0.9165763813651138
大中国,1842,0.9277958740499457
懂你,1836,0.7832244008714597
父亲,1691,0.8332347723240686
敢问路在何方,1675,0.8955223880597015
光阴的故事,1648,0.8343446601941747
红旗飘飘,1603,0.8484092326887087
九月九的酒,1580,0.919620253164557
新鸳鸯蝴蝶梦,1512,0.8009259259259259
兰花草,1329,0.8141459744168548
恋曲1990,1326,0.6953242835595776
独家记忆,1325,0.8528301886792453
爱情买卖,1313,0.9291698400609292
我的未来不是梦,1288,0.9192546583850931
星星点灯,1230,0.9252032520325203
爱江山更爱美人,1135,0.9392070484581497
橄榄树,1085,0.656221198156682
龙的传人,1078,0.8283858998144712
大约在冬季,1059,0.8035882908404155
铁血丹心,1013,0.8479763079960513
万水千山总是情,1011,0.8318496538081108
世间始终你好,990,0.7424242424242424
酒干倘卖无,987,0.8743667679837892
刀剑如梦,946,0.8076109936575053
江湖笑,922,0.8882863340563991
天下无双,909,0.6842684268426843
难念的经,848,0.7028301886792453
太多,836,0.9066985645933014
海阔天空,825,0.8472727272727273
在水一方,800,0.79625
暗香,739,0.6075778078484438
小幸运,722,0.8850415512465374
上海滩,718,0.8732590529247911
一剪梅,713,0.8934081346423562
万里长城永不倒,686,0.880466472303207
在希望的田野上,677,0.8478581979320532
外婆的澎湖湾,666,0.8693693693693694
小城故事,637,0.9183673469387755
夜来香,627,0.9202551834130781
爱如潮水,627,0.8883572567783095
后来,592,0.8412162162162162
爱拼才会赢,549,0.8123861566484517
让我们荡起双桨,512,0.841796875
光辉岁月,503,0.8906560636182903
只要有你,499,0.6673346693386774
潇洒走一回,495,0.9050505050505051
吻别,482,0.8008298755186722
小芳,473,0.9323467230443975
外面的世界,472,0.7796610169491526
用心良苦,462,0.8246753246753247
相思,450,0.7355555555555555
妈妈的吻,432,0.7754629629629629
你是风儿我是沙,414,0.8719806763285024
双截棍,409,0.9070904645476773
跟着感觉走,408,0.8382352941176471
南泥湾,400,0.7125
一生何求,398,0.8040201005025126
流星雨,397,0.9143576826196473
偏偏喜欢你,392,0.7448979591836735
童话,391,0.8209718670076727
十年,380,0.9236842105263158
难忘今宵,374,0.7540106951871658
老鼠爱大米,372,0.9247311827956989
再回首,372,0.803763440860215
东风破,369,0.8211382113821138
2002年的第一场雪,366,0.9672131147540983
恰似你的温柔,365,0.6520547945205479
爱你,363,0.8980716253443526
小苹果,348,0.9540229885057471
泡沫,348,0.9022988505747126
一场游戏一场梦,348,0.8620689655172413
存在,347,0.7319884726224783
成都,346,0.815028901734104
南山南,344,0.9156976744186046
跟往事干杯,344,0.6453488372093024
消愁,343,0.7696793002915452
凉凉,342,0.7046783625730995
十五的月亮,339,0.8495575221238938
那些年,337,0.8160237388724035
终于等到你,335,0.8149253731343283
自从有了你,328,0.75
山不转水转,323,0.7585139318885449
是否我真的一无所有,319,0.7711598746081505
安妮,313,0.6038338658146964
英雄泪,299,0.6688963210702341
千千阙歌,297,0.8720538720538721
我们,277,0.6353790613718412
你快回来,275,0.7418181818181818
天路,269,0.8104089219330854
忘了你忘了我,269,0.6171003717472119
很爱很爱你,259,0.8262548262548263
九百九十九朵玫瑰,257,0.9299610894941635
月亮惹的祸,245,0.8612244897959184
夜空中最亮的星,232,0.8879310344827587
我的祖国,215,0.7813953488372093
你是我胸口永远的痛,214,0.897196261682243
好汉歌,206,0.8592233009708737
南屏晚钟,204,0.7352941176470589
玫瑰玫瑰我爱你,204,0.8333333333333334
为爱痴狂,203,0.8620689655172413
当爱在靠近,197,0.6954314720812182
一辈子的孤单,194,0.8711340206185567
送别,192,0.5
红日,192,0.7604166666666666
精忠报国,188,0.8297872340425532
霸王别姬,187,0.8074866310160428
忘情水,184,0.8260869565217391
因为爱情,181,0.9060773480662984
千年等一回,181,0.9392265193370166
青青河边草,180,0.8888888888888888
沉默是金,176,0.625
敖包相会,171,0.5964912280701754
红尘有你,169,0.757396449704142
一言难尽,168,0.7321428571428571
波斯猫,166,0.8554216867469879
驼铃,165,0.6
真心英雄,163,0.6932515337423313
倩女幽魂,163,0.7423312883435583
