right_song,total_count,is_right_probability
海阔天空,1041,0.7877041306436119
朋友,989,0.8938321536905965
光阴的故事,984,0.8638211382113821
水手,966,0.8126293995859213
童年,897,0.8807134894091416
橄榄树,895,0.7050279329608938
新鸳鸯蝴蝶梦,882,0.7970521541950113
梦醒时分,833,0.7190876350540216
万水千山总是情,825,0.8242424242424242
小幸运,796,0.8366834170854272
爱如潮水,773,0.8525226390685641
酒干倘卖无,760,0.8855263157894737
明天会更好,757,0.8150594451783355
一剪梅,672,0.8735119047619048
一生何求,663,0.8144796380090498
让我们荡起双桨,660,0.8909090909090909
大约在冬季,650,0.8323076923076923
外婆的澎湖湾,645,0.8310077519379845
只要有你,639,0.6572769953051644
甜蜜蜜,569,0.9050966608084359
偏偏喜欢你,562,0.693950177935943
在水一方,548,0.8284671532846716
后来,543,0.9152854511970534
小城故事,534,0.9063670411985019
千千阙歌,534,0.8426966292134831
上海滩,533,0.8836772983114447
爱江山更爱美人,526,0.9334600760456274
万里长城永不倒,525,0.8476190476190476
兰花草,490,0.7938775510204081
相思,487,0.8275154004106776
驼铃,487,0.731006160164271
爱拼才会赢,473,0.7674418604651163
龙的传人,468,0.8525641025641025
月亮代表我的心,455,0.8307692307692308
十五的月亮,447,0.912751677852349
一场游戏一场梦,442,0.8619909502262444
歌唱祖国,421,0.9121140142517815
流星雨,412,0.8446601941747572
童话,410,0.7878048780487805
存在,409,0.7090464547677262
再回首,408,0.8431372549019608
小苹果,405,0.9185185185185185
十年,403,0.8436724565756824
跟着感觉走,402,0.8706467661691543
成都,400,0.7075
南山南,398,0.8442211055276382
吻别,396,0.7954545454545454
小芳,395,0.9164556962025316
泡沫,393,0.8498727735368957
恋曲1990,391,0.7007672634271099
双截棍,390,0.8461538461538461
铁血丹心,389,0.8149100257069408
潇洒走一回,385,0.8831168831168831
外面的世界,384,0.8489583333333334
世间始终你好,383,0.7310704960835509
跟往事干杯,382,0.6518324607329843
可惜没如果,382,0.7853403141361257
光辉岁月,382,0.8010471204188482
奇妙能力歌,382,0.581151832460733
当爱在靠近,380,0.7026315789473684
为爱痴狂,380,0.85
我的祖国,378,0.791005291005291
演员,373,0.6434316353887399
青青河边草,370,0.9216216216216216
千年等一回,369,0.9295392953929539
恰似你的温柔,367,0.6403269754768393
南泥湾,367,0.8937329700272479
红日,363,0.6143250688705234
天路,363,0.8650137741046832
在希望的田野上,359,0.8662952646239555
是否我真的一无所有,358,0.7625698324022346
安妮,350,0.5742857142857143
模特,349,0.5128939828080229
很爱很爱你,347,0.9394812680115274
